episode_number,success_episode,failure_episode,episode_reward,episode_step
1080,True,False,1088,126
1081,False,True,524,106
1082,False,True,305,69
1083,True,False,1193,144
1084,True,False,1317,165
1085,True,False,1073,123
1086,True,False,1325,166
1087,True,False,1386,174
1088,True,False,1421,182
1089,True,False,1490,192
1090,True,False,1448,184
1091,True,False,1389,176
1092,False,True,371,84
1093,False,True,440,92
1094,True,False,1449,185
1095,False,True,664,131
1096,True,False,1498,193
1097,True,False,1082,126
1098,True,False,1069,123
1099,True,False,1258,154
1100,True,False,1232,150
1101,True,False,820,85
1102,True,False,1194,143
1103,True,False,1526,198
1104,True,False,899,96
1105,False,True,449,93
1106,True,False,1149,136
1107,True,False,1295,162
1108,True,False,1514,195
1109,True,False,1341,200
1110,True,False,1046,117
1111,True,False,1128,132
1112,False,True,364,83
1113,True,False,1484,191
1114,True,False,1137,134
1115,True,False,1126,133
1116,True,False,1323,200
1117,True,False,1047,123
1118,True,False,1259,153
1119,True,False,1425,182
1120,True,False,1124,132
1121,True,False,913,98
1122,False,True,243,61
1123,True,False,1120,132
1124,True,False,1250,152
1125,True,False,1362,170
1126,False,True,126,43
1127,True,False,1014,117
1128,True,False,1142,137
1129,True,False,1212,146
1130,True,False,1056,118
1131,True,False,778,77
1132,True,False,1180,142
1133,True,False,1501,193
1134,True,False,1539,200
1135,True,False,1332,200
1136,False,True,228,60
1137,True,False,1021,116
1138,True,False,1493,195
1139,True,False,1337,200
1140,True,False,1333,200
1141,True,False,1364,170
1142,True,False,1366,168
1143,True,False,1308,162
1144,True,False,1078,123
1145,True,False,1000,112
1146,True,False,1214,147
1147,True,False,1136,135
1148,True,False,1182,141
1149,True,False,1264,154
1150,True,False,1220,145
1151,False,True,284,70
1152,True,False,1387,175
1153,False,True,473,103
1154,False,True,1339,200
1155,True,False,1254,153
1156,True,False,1100,128
1157,True,False,958,105
1158,True,False,994,110
1159,True,False,827,85
1160,True,False,823,83
1161,True,False,703,68
1162,False,True,55,38
1163,True,False,862,90
1164,False,True,163,51
1165,True,False,1042,118
1166,False,True,526,99
1167,True,False,938,104
1168,True,False,1071,123
1169,True,False,1431,181
1170,True,False,1285,157
1171,True,False,1437,184
1172,True,False,1246,153
1173,True,False,1352,200
1174,True,False,1341,167
1175,True,False,1213,147
1176,True,False,1193,145
1177,True,False,1325,200
1178,False,True,675,132
1179,True,False,1177,141
1180,True,False,1224,149
1181,True,False,1415,180
1182,True,False,1399,177
1183,True,False,1395,177
1184,True,False,1335,200
1185,True,False,1007,113
1186,True,False,1321,166
1187,True,False,1161,135
1188,True,False,1273,158
1189,True,False,1507,196
1190,True,False,1523,195
1191,True,False,1039,119
1192,True,False,1301,162
1193,True,False,1331,200
1194,True,False,1177,140
1195,True,False,1237,151
1196,True,False,1345,168
1197,True,False,1061,120
1198,False,True,260,66
1199,True,False,1097,129
1200,False,True,90,40
1201,False,True,141,49
1202,False,True,208,59
1203,False,True,703,128
1204,True,False,1038,120
1205,False,True,204,58
1206,False,True,149,49
1207,True,False,1288,160
1208,True,False,1230,149
1209,True,False,844,86
1210,False,True,157,51
1211,True,False,973,108
1212,False,True,124,46
1213,True,False,1044,118
1214,True,False,960,104
1215,True,False,985,109
1216,True,False,1503,193
1217,True,False,1213,146
1218,True,False,1338,200
1219,True,False,1205,146
1220,True,False,1198,143
1221,False,True,162,56
